,Body part,Exercise
139,BACK EXERCISES,Kettlebell Swing
140,BACK EXERCISES,Lat Pulldown With Pronated Grip
141,BACK EXERCISES,Lat Pulldown With Supinated Grip
142,BACK EXERCISES,One-Handed Cable Row
143,BACK EXERCISES,One-Handed Lat Pulldown
144,BACK EXERCISES,Pause Deadlift
145,BACK EXERCISES,Pendlay Row
146,BACK EXERCISES,Power Clean
147,BACK EXERCISES,Power Snatch
148,BACK EXERCISES,Pull-Up
149,BACK EXERCISES,Rack Pull
150,BACK EXERCISES,Seal Row
151,BACK EXERCISES,Seated Machine Row
152,BACK EXERCISES,Snatch
153,BACK EXERCISES,Snatch Grip Deadlift
154,BACK EXERCISES,Stiff-Legged Deadlift
155,BACK EXERCISES,Straight Arm Lat Pulldown
156,BACK EXERCISES,Sumo Deadlift
157,BACK EXERCISES,T-Bar Row
158,BACK EXERCISES,Trap Bar Deadlift With High Handles
159,BACK EXERCISES,Trap Bar Deadlift With Low Handles
160,GLUTE EXERCISES,Banded Side Kicks
161,GLUTE EXERCISES,Cable Pull Through
162,GLUTE EXERCISES,Clamshells
163,GLUTE EXERCISES,Dumbbell Romanian Deadlift
164,GLUTE EXERCISES,Dumbbell Frog Pumps
165,GLUTE EXERCISES,Fire Hydrants
166,GLUTE EXERCISES,Frog Pumps
167,GLUTE EXERCISES,Glute Bridge
168,GLUTE EXERCISES,Hip Abduction Against Band
169,GLUTE EXERCISES,Hip Abduction Machine
170,GLUTE EXERCISES,Hip Thrust
171,GLUTE EXERCISES,Hip Thrust Machine
172,GLUTE EXERCISES,Hip Thrust With Band Around Knees
173,GLUTE EXERCISES,Lateral Walk With Band
174,GLUTE EXERCISES,Machine Glute Kickbacks
175,GLUTE EXERCISES,One-Legged Glute Bridge
176,GLUTE EXERCISES,One-Legged Hip Thrust 
177,GLUTE EXERCISES,Romanian Deadlift
178,GLUTE EXERCISES,Single Leg Romanian Deadlift
179,GLUTE EXERCISES,Standing Glute Kickback in Machine
180,GLUTE EXERCISES,Step Up
181,AB EXERCISES,Cable Crunch
182,AB EXERCISES,Crunch
183,AB EXERCISES,Dead Bug
184,AB EXERCISES,Hanging Leg Raise
185,AB EXERCISES,Hanging Knee Raise
186,AB EXERCISES,Hanging Sit-Up
187,AB EXERCISES,High to Low Wood Chop with Band
188,AB EXERCISES,Horizontal Wood Chop with Band
189,AB EXERCISES,Kneeling Ab Wheel Roll-Out
190,AB EXERCISES,Kneeling Plank
191,AB EXERCISES,Kneeling Side Plank
192,AB EXERCISES,Lying Leg Raise
193,AB EXERCISES,Lying Windshield Wiper
194,AB EXERCISES,Lying Windshield Wiper with Bent Knees
195,AB EXERCISES,Machine Crunch
196,AB EXERCISES,Mountain Climbers
197,AB EXERCISES,Oblique Crunch
198,AB EXERCISES,Oblique Sit-Up
199,AB EXERCISES,Plank
200,AB EXERCISES,Side Plank
201,AB EXERCISES,Sit-Up
202,CALVES EXERCISES,Eccentric Heel Drop
203,CALVES EXERCISES,Heel Raise
204,CALVES EXERCISES,Seated Calf Raise
205,CALVES EXERCISES,Standing Calf Raise
206,FOREARM FLEXORS & GRIP EXERCISES,Barbell Wrist Curl
207,FOREARM FLEXORS & GRIP EXERCISES,Barbell Wrist Curl Behind the Back
208,FOREARM FLEXORS & GRIP EXERCISES,Bar Hang
209,FOREARM FLEXORS & GRIP EXERCISES,Dumbbell Wrist Curl
210,FOREARM FLEXORS & GRIP EXERCISES,Farmers Walk
211,FOREARM FLEXORS & GRIP EXERCISES,Fat Bar Deadlift
212,FOREARM FLEXORS & GRIP EXERCISES,Gripper
213,FOREARM FLEXORS & GRIP EXERCISES,One-Handed Bar Hang
214,FOREARM FLEXORS & GRIP EXERCISES,Plate Pinch
215,FOREARM FLEXORS & GRIP EXERCISES,Plate Wrist Curl
216,FOREARM FLEXORS & GRIP EXERCISES,Towel Pull-Up
217,FOREARM EXTENSOR EXERCISES,Barbell Wrist Extension
218,FOREARM EXTENSOR EXERCISES,Dumbbell Wrist Extension
219,CARDIO EXERCISES & EQUIPMENT,Rowing Machine
220,CARDIO EXERCISES & EQUIPMENT,Stationary Bike
